"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Salary","Contract","FPts","FP/G","%D","ADP","Ros","GP","G","A","A1","A2","PIM","SOG","Shot%","TS%","PPP","Hit","Blk","TOIES","TOIPP","TOISH","Cor","ZS%"
"*00u0m*","Alex Pietrangelo","VGK","D","258","Abby","35","","2,316,000","1st","305.85","4.31","1","1168.8","33%","71","4","29","14","15","16","123","3.3","1.4","2","41","139","1378:58","63:45","147:50","49","0.57"
"*04f75*","Noah Cates","PHI","C","259","FA","26","","1,849,000","1st","305.75","3.92","1","1236.6","34%","78","16","21","14","7","14","110","14.5","7.5","3","87","54","1039:41","77:39","121:06","-44","0.41"
"*020f4*","Adam Larsson","SEA","D","261","FA","32","","1,871,000","1st","304.4","3.71","18","337.2","42%","82","7","21","9","12","31","112","6.3","2.7","0","104","148","1511:17","07:44","218:13","-94","0.45"
"*05kdw*","Ridly Greig","OTT","C,LW,RW","262","FA","23","","1,834,000","1st","303.3","3.89","2","1176","57%","78","13","21","14","7","60","119","10.9","5.5","9","138","47","1052:36","142:18","137:20","-147","0.42"
"*03kng*","Frederick Gaudreau","SEA","C,RW","263","FA","32","","1,864,000","1st","303.25","3.7","0","-","24%","82","18","19","14","5","8","110","16.4","9.1","5","47","61","1040:13","96:57","147:05","-197","0.48"
"*01f5z*","Chris Kreider","ANA","LW","264","Murica","34","","4,595,000","2027","303.15","4.46","90","172.1","74%","68","22","8","3","5","24","152","14.5","8.4","7","79","26","827:05","196:52","115:20","-75","0.60"
"*02fro*","Adam Lowry","WPG","C","265","Sam","32","","2,067,000","1st","302.3","4.14","1","1240.2","37%","73","16","18","8","10","28","99","16.2","8.2","0","140","60","978:45","04:25","143:06","51","0.33"
"*003tz*","Brent Burns","COL","D","266","FA","40","@LAK Tue 8:30PM","1,853,000","1st","301.55","3.68","24","272.8","54%","82","6","23","10","13","28","174","3.4","1.3","3","11","98","1384:59","137:29","195:54","449","0.58"
"*04zj8*","Bobby Brink","PHI","RW","267","FA","24","","1,780,000","1st","301","3.81","1","1177.5","53%","79","12","29","14","15","22","105","11.4","5.6","4","98","30","1013:43","155:59","01:56","-44","0.50"
"*0045u*","Jordan Staal","CAR","C","268","FA","36","","1,849,000","1st","300.9","4.01","1","1274.2","30%","75","13","23","15","8","16","107","12.1","6.6","0","138","43","981:28","06:43","169:37","365","0.46"
"*04znw*","Brandt Clarke","LAK","D","270","Joel","22","COL Tue 8:30PM","1,270,000","1st","299.95","3.85","90","186","92%","78","5","28","15","13","46","131","3.8","1.9","9","23","121","1127:00","138:28","04:18","172","0.65"
"*02npj*","Jordan Martinook","CAR","LW","271","FA","33","","1,840,000","1st","299.4","3.79","0","-","17%","79","15","21","14","7","18","112","13.4","6.0","0","84","52","1032:23","04:03","172:00","370","0.47"
"*01zu5*","Justin Faulk","STL","D","272","Daniel","33","","1,962,000","1st","297.3","3.81","57","226.8","59%","78","4","28","13","15","30","124","3.2","1.4","12","82","108","1490:13","159:10","101:45","-157","0.56"
"*06iml*","Maxim Tsyplakov","NYI","LW","273","FA","26","","1,803,000","1st","296.2","3.85","2","1187.3","54%","77","10","25","14","11","39","116","8.6","3.8","3","140","40","1035:06","117:10","00:12","77","0.60"
"*01mke*","Marcus Foligno","MIN","LW","274","FA","34","","1,816,000","1st","295.45","3.84","1","1306.2","28%","77","14","15","9","6","75","91","15.4","8.8","0","253","49","979:20","29:09","106:38","72","0.49"
"*04lc5*","Jack McBain","UTA","C,LW","275","FA","25","","1,812,000","1st","294.75","3.59","1","1297.2","45%","82","13","14","8","6","78","90","14.4","6.9","3","291","50","970:21","25:23","117:15","-3","0.49"
"*05r50*","Mackie Samoskevich","FLA","LW,RW","276","FA","22","CHI Tue 3:00PM","1,806,000","1st","293.8","4.08","15","316.5","66%","72","15","16","10","6","12","129","11.6","5.4","11","134","32","839:10","119:05","00:57","163","0.67"
"*05g42*","Jack Quinn","BUF","RW","277","Nate","23","","1,762,000","1st","293.35","3.96","15","358","63%","74","15","24","13","11","18","123","12.2","5.4","13","39","23","927:36","164:41","07:36","-54","0.63"
"*04zb6*","Alex Vlasic","CHI","D","278","FA","24","@FLA Tue 3:00PM","1,803,000","1st","293.35","3.58","34","258.1","62%","82","4","26","12","14","12","103","3.9","1.9","12","59","157","1576:11","115:53","215:29","-439","0.47"
"*042xa*","Ross Colton","COL","C,LW,RW","279","Daniel","28","@LAK Tue 8:30PM","1,880,000","1st","292.75","4.8","8","438.5","48%","61","16","13","8","5","18","125","12.8","6.3","7","145","42","776:32","97:28","05:40","122","0.58"
"*05nzz*","Simon Edvinsson","DET","D","280","Abby","22","","1,601,000","1st","291.7","3.74","58","216.5","83%","78","7","24","14","10","67","86","8.1","3.3","0","86","144","1495:46","30:59","120:45","-97","0.46"
"*03ekl*","Vladislav Gavrikov","NYR","D","281","Abby","29","PIT Tue 6:00PM","1,612,000","1st","290.9","3.55","5","467.5","33%","82","5","25","9","16","28","112","4.5","1.8","0","50","140","1616:17","07:05","269:44","207","0.39"
"*04r0j*","Michael Kesselring","BUF","D","282","Jason","25","","1,337,000","1st","290.25","3.54","13","402.7","59%","82","7","22","16","6","89","150","4.7","2.0","3","87","67","1345:41","69:49","34:48","193","0.57"
"*023wa*","Jared Spurgeon","MIN","D","283","Chris","35","","1,651,000","1st","289.65","4.39","39","252.4","44%","66","7","25","11","14","14","107","6.5","2.9","9","53","119","1181:33","111:07","57:06","48","0.56"
"*03rfj*","Keegan Kolesar","VGK","RW","284","FA","28","","1,778,000","1st","289.35","3.53","0","-","30%","82","12","18","9","9","53","88","13.6","7.2","0","237","49","1041:09","00:39","40:06","32","0.47"
"*05ltj*","Brock Faber","MIN","D","285","Logan","23","","4,383,000","2029","289.3","3.71","85","200.8","91%","78","10","19","6","13","23","124","8.1","3.4","10","36","115","1659:08","174:41","157:08","-211","0.55"
"*05tv0*","Jackson Blake","CAR","RW","286","Logan","22","","1,705,000","1st","289.15","3.61","26","255","69%","80","17","17","12","5","30","142","12.0","6.9","7","19","30","940:08","167:02","00:30","408","0.67"
"*02nqa*","Matt Grzelcyk","PIT","D","287","Seth","31","@NYR Tue 6:00PM","1,469,000","1st","289.05","3.53","2","443.7","37%","82","1","39","19","20","16","94","1.1","0.4","15","43","101","1471:17","170:28","48:26","-7","0.60"
"*04mq1*","Ilya Mikheyev","CHI","LW,RW","288","FA","30","@FLA Tue 3:00PM","1,774,000","1st","288.6","3.61","0","-","19%","80","20","14","7","7","16","138","14.5","9.0","0","34","15","1081:29","14:17","158:23","-139","0.39"
"*0457b*","Casey Mittelstadt","BOS","C","289","FA","26","","1,767,000","1st","287.5","3.55","2","1212.5","46%","81","15","25","16","9","24","105","14.3","8.1","13","30","33","1195:47","185:27","00:56","-49","0.64"
"*03raj*","Anthony Beauvillier","WSH","LW,RW","290","FA","28","","1,755,000","1st","287.05","3.54","0","-","24%","81","15","10","4","6","14","149","10.1","5.7","1","139","36","1011:39","13:01","18:08","46","0.48"
"*03eeo*","Jake Evans","MTL","C","291","FA","29","","1,764,000","1st","287","3.5","1","1291.2","29%","82","13","23","17","6","10","80","16.3","7.6","0","124","60","1039:40","03:02","232:42","-116","0.29"
"*03pax*","Ivan Provorov","CBJ","D","292","FA","28","","1,758,000","1st","286.5","3.49","0","1187","39%","82","7","26","12","14","31","100","7.0","2.6","3","28","127","1622:17","79:20","213:24","-121","0.47"
"*02b3l*","Vladislav Namestnikov","WPG","C","293","FA","32","","1,754,000","1st","285.3","3.66","0","-","27%","78","11","27","9","18","38","94","11.7","6.5","11","84","49","1021:21","99:31","56:14","121","0.68"
"*01skq*","Cam Fowler","STL","D","294","Nate","33","","1,250,000","1st","285.1","4.19","95","168.8","75%","68","9","31","17","14","14","88","10.2","4.4","8","8","87","1277:14","109:45","77:57","37","0.54"
"*02ybl*","Valeri Nichushkin","COL","LW,RW","295","Nate","30","@LAK Tue 8:30PM","3,951,329","2026","284.85","6.62","100","90.5","96%","43","21","13","6","7","8","118","17.8","9.9","8","55","21","662:16","131:00","55:33","124","0.65"
"*01yj6*","Radko Gudas","ANA","D","297","FA","35","","1,735,000","1st","282.55","3.49","55","223.8","60%","81","1","15","11","4","86","89","1.1","0.4","0","261","178","1407:09","01:45","200:13","-210","0.39"
"*02npz*","Esa Lindell","DAL","D","298","FA","31","","1,726,000","1st","280.8","3.51","2","1224","33%","80","5","21","12","9","14","99","5.1","2.2","1","50","170","1470:19","17:06","287:02","-251","0.34"
"*05gd7*","Cole Sillinger","CBJ","C","299","Abby","22","","2,153,000","1st","280.8","4.25","0","1320.2","54%","66","11","22","14","8","35","129","8.5","4.8","3","74","36","932:39","91:34","92:05","-148","0.55"
"*04qve*","KAndre Miller","CAR","D","300","FA","25","","1,689,000","1st","280.75","3.79","49","234.1","69%","74","7","20","11","9","22","110","6.4","2.7","2","107","110","1401:14","58:14","164:35","-45","0.46"
"*02dq3*","Jacob Trouba","ANA","D","301","Sam","31","","1,878,000","1st","280.7","3.65","73","197","64%","77","1","13","11","2","66","111","0.9","0.4","0","164","208","1376:46","09:44","193:24","-315","0.41"
"*03rae*","Joel Eriksson Ek","MIN","C","302","Chris","28","","4,670,000","2027","280.5","6.1","99","108.9","96%","46","14","15","9","6","22","140","10.0","6.5","10","82","36","686:52","139:42","82:41","63","0.57"
"*01xfq*","Vladimir Tarasenko","MIN","RW","303","Shannon","33","","3,959,000","2026","280.35","3.5","13","385.8","34%","80","11","22","12","9","6","133","8.3","3.9","8","63","35","1058:43","120:31","03:14","-167","0.56"
"*03klz*","Darren Raddysh","TBL","D","304","Daniel","29","","1,457,000","1st","279.1","3.82","3","492.9","43%","73","6","31","12","19","14","108","5.6","2.1","9","38","68","1123:26","129:43","09:44","61","0.67"
"*02o70*","Josh Anderson","MTL","LW,RW","305","FA","31","","1,707,000","1st","277.8","3.43","0","-","21%","81","15","12","8","4","90","109","13.8","7.1","0","176","39","1013:15","05:26","141:12","-155","0.41"
"*02wy5*","Nikita Zadorov","BOS","D","306","FA","30","","1,707,000","1st","277.75","3.43","2","1091.8","47%","81","4","18","6","12","145","105","3.8","1.5","0","219","107","1481:22","14:25","173:44","-112","0.43"
"*04qxy*","Alexander Romanov","NYI","D","307","Jason","25","","1,181,000","1st","277.25","4.33","76","199.7","70%","64","4","16","8","8","20","100","4.0","1.6","0","147","165","1298:09","07:00","122:30","-94","0.47"
"*03eb3*","Christian Dvorak","PHI","C","308","FA","29","","1,701,000","1st","276.8","3.38","0","-","17%","82","12","21","15","6","16","104","11.5","5.4","2","44","74","1032:46","32:21","184:52","-136","0.37"
"*04lcf*","Joel Farabee","CGY","LW","309","FA","25","","1,676,000","1st","276.2","3.41","0","-","33%","81","11","14","9","5","34","151","7.3","4.3","4","94","50","1056:57","114:23","36:39","-14","0.53"
"*04qza*","Martin Pospisil","CGY","C,RW","310","FA","25","","1,697,000","1st","276.05","3.41","3","468.3","48%","81","4","21","13","8","84","114","3.5","1.7","4","301","26","1044:27","68:02","05:58","166","0.64"
"*02ytx*","Ryan Hartman","MIN","C,RW","311","FA","30","","1,692,000","1st","275.35","3.99","2","1184.6","33%","69","11","15","11","4","65","158","7.0","3.7","7","73","41","938:43","91:01","03:14","-47","0.51"
"*01f3d*","Oliver Ekman-Larsson","TOR","D","312","FA","34","","1,691,000","1st","275.1","3.57","8","436.7","45%","77","4","25","9","16","52","118","3.4","1.4","4","108","83","1428:55","110:26","82:56","-77","0.57"
"*02iqx*","Nick Seeler","PHI","D","313","FA","32","","1,682,000","1st","274.65","3.57","5","463.6","35%","77","3","17","7","10","36","82","3.7","1.3","0","125","200","1206:37","01:20","122:35","-270","0.50"
"*02o78*","Brett Kulak","EDM","D","314","FA","31","","1,687,000","1st","274.5","3.35","0","-","17%","82","7","18","7","11","18","135","5.2","2.4","0","28","118","1529:45","12:36","141:31","167","0.52"
"*01mzc*","Brayden McNabb","VGK","D","315","FA","34","","1,685,000","1st","274.15","3.34","4","469.5","41%","82","5","15","7","8","32","97","5.2","2.1","0","131","167","1485:52","01:18","162:05","40","0.52"
"*04az7*","Alex Iafallo","WPG","LW,RW","316","FA","31","","1,684,000","1st","274.05","3.34","0","-","18%","82","15","16","12","4","15","109","13.8","7.9","10","53","61","831:40","112:13","145:20","42","0.48"
"*03mn5*","Patrik Laine","MTL","LW,RW","317","Joel","27","","2,112,000","1st","273.7","5.26","85","217.2","82%","52","20","13","8","5","14","116","17.2","9.3","19","26","28","589:60","153:51","00:08","-143","0.81"
"*04qy3*","Martin Fehervary","WSH","D","318","FA","25","","1,678,000","1st","272.95","3.37","4","452.3","46%","81","5","20","10","10","25","76","6.6","2.5","0","139","150","1290:30","03:18","245:35","-20","0.42"
"*03wpo*","Dante Fabbro","CBJ","D","319","Jason","27","","974,000","1st","272.55","4.01","13","376.4","45%","68","9","17","5","12","40","89","10.1","4.1","0","67","143","1309:10","05:32","106:12","3","0.51"
"*02ybm*","Ryan Pulock","NYI","D","320","Chris","30","","1,691,000","1st","272.4","3.68","0","-","31%","74","5","18","11","7","16","97","5.2","2.2","2","100","155","1329:40","70:41","159:33","-224","0.48"
"*03xmh*","Brandon Tanev","UTA","LW,RW","321","Abby","33","","1,891,000","1st","271.8","3.44","0","-","22%","79","10","12","8","4","16","99","10.1","5.5","0","168","105","886:32","04:23","153:60","-166","0.39"
"*04nwz*","Eric Robinson","CAR","LW","322","FA","30","","1,657,000","1st","271.75","3.31","0","-","14%","82","14","18","14","4","10","110","12.7","6.5","0","123","16","941:25","01:49","62:11","325","0.57"
"*01whl*","Jeff Skinner","SJS","LW","323","FA","33","","1,669,000","1st","271.55","3.77","6","467.3","30%","72","16","13","10","3","26","144","11.1","6.0","2","45","23","848:08","87:48","00:03","88","0.65"
"*059e1*","Braden Schneider","NYR","D","324","FA","23","PIT Tue 6:00PM","1,669,000","1st","271.5","3.39","3","482.3","53%","80","6","15","6","9","18","95","6.3","2.7","0","146","145","1285:29","04:58","138:54","-223","0.38"
"*03eer*","Jake Middleton","MIN","D","325","Adam","29","","1,644,000","1st","271.15","4.05","14","385.7","48%","67","8","13","7","6","40","97","8.2","3.6","0","99","157","1324:15","05:08","136:12","-223","0.46"
"*04uqa*","Vasili Podkolzin","EDM","LW","326","FA","24","","1,664,000","1st","271.05","3.31","0","1203.2","42%","82","8","16","6","10","48","114","7.0","3.9","0","211","53","1022:44","00:52","60:05","255","0.54"
"*04mkd*","Yegor Sharangovich","CGY","C,LW,RW","327","FA","27","","1,631,000","1st","270.6","3.71","6","449.1","43%","73","17","15","10","5","8","128","13.3","5.9","8","14","31","1006:44","156:59","52:20","93","0.65"
"*03c9z*","Nicolas Roy","TOR","C","328","Sam","28","","1,593,000","1st","270.4","3.81","0","-","31%","71","15","16","8","8","43","107","14.0","8.1","4","72","47","940:58","84:19","55:11","17","0.49"
"*02o7l*","Jaccob Slavin","CAR","D","330","FA","31","","1,661,000","1st","270.25","3.38","6","385.2","43%","80","6","21","7","14","8","110","5.5","1.9","0","21","136","1476:27","13:19","236:03","434","0.53"
"*02wy6*","Andre Burakovsky","CHI","LW,RW","329","FA","30","@FLA Tue 3:00PM","1,661,000","1st","270.25","3.42","4","481.4","24%","79","10","27","18","9","12","115","8.7","4.6","8","33","27","1012:14","127:02","00:06","-84","0.57"
"*02fqa*","Ondrej Palat","NJD","LW","331","FA","34","","1,653,000","1st","269.2","3.5","0","-","17%","77","15","13","4","9","12","96","15.6","7.8","4","124","58","971:59","59:22","27:44","-73","0.62"
"*025e1*","Nic Dowd","WSH","C","332","FA","35","","1,650,000","1st","269.2","3.28","1","1318.2","24%","82","14","13","5","8","56","86","16.3","8.4","0","128","82","1030:45","03:06","210:35","-107","0.15"
"*01bvj*","Ryan McDonagh","TBL","D","333","FA","36","","1,646,000","1st","268.35","3.27","1","1238.1","23%","82","4","27","12","15","22","78","5.1","2.1","1","23","152","1442:20","15:36","212:26","-61","0.36"
"*02zpp*","Viktor Arvidsson","BOS","LW,RW","334","FA","32","","1,648,000","1st","268.1","4","18","318.1","36%","67","15","12","9","3","24","158","9.5","5.0","3","32","23","915:34","73:26","15:46","201","0.57"
"*01f64*","Marcus Johansson","MIN","LW","335","FA","34","","1,644,000","1st","267.45","3.71","0","1266.2","17%","72","11","23","16","7","12","121","9.1","4.6","6","49","25","1078:27","92:32","08:37","-53","0.51"
"*04lc8*","Jesperi Kotkaniemi","CAR","C","336","FA","25","","1,578,000","1st","267","3.42","0","-","34%","78","12","21","10","11","50","115","10.4","5.5","1","66","28","986:44","104:49","05:04","305","0.61"
"*02g00*","Aaron Ekblad","FLA","D","337","Seth","29","CHI Tue 3:00PM","1,964,000","1st","266.7","4.76","100","147.2","96%","56","3","30","14","16","53","106","2.8","1.0","11","90","64","1030:07","150:06","136:29","238","0.59"
"*03rgk*","Alex Carrier","MTL","D","338","FA","28","","1,639,000","1st","266.65","3.38","0","-","27%","79","3","22","11","11","40","82","3.7","1.6","0","75","169","1456:54","09:47","159:41","-204","0.39"
"*04n4n*","Rasmus Sandin","WSH","D","339","FA","25","","1,624,000","1st","266.35","3.25","5","480.2","50%","82","4","26","14","12","23","78","5.1","1.8","5","91","122","1456:52","66:24","50:23","-66","0.47"
"*03daz*","Marcus Pettersson","VAN","D","341","Murica","29","","1,534,000","1st","265","3.4","0","-","30%","78","4","25","14","11","45","70","5.7","1.9","0","80","144","1478:31","10:43","202:38","-14","0.43"
"*03169*","Alexander Wennberg","SJS","C","342","FA","30","","1,628,000","1st","264.9","3.44","0","-","20%","77","10","25","13","12","14","82","12.2","5.5","10","30","80","1127:02","215:13","109:45","-81","0.59"
"*05oxk*","Mason Lohrei","BOS","D","343","FA","24","","1,624,000","1st","264.15","3.43","47","249.8","71%","77","5","28","9","19","16","92","5.4","1.9","16","25","103","1317:04","160:48","25:45","-80","0.66"
"*02noi*","Cody Ceci","LAK","D","344","FA","31","COL Tue 8:30PM","1,620,000","1st","263.5","3.1","0","-","16%","85","4","20","6","14","24","90","4.4","1.8","0","76","155","1583:38","09:45","209:37","-444","0.43"
"*04xef*","Philip Broberg","STL","D","345","Jason","24","","904,000","1st","262.15","3.86","39","251.3","75%","68","8","21","10","11","16","97","8.2","3.4","2","43","103","1269:00","31:53","93:06","-101","0.47"
"*01s88*","Adam Henrique","EDM","C,LW","346","FA","35","","1,609,000","1st","261.8","3.23","0","-","26%","81","12","15","5","10","16","104","11.5","6.6","6","58","85","985:34","71:08","129:28","-111","0.45"
"*01mz5*","Dmitry Orlov","SJS","D","347","FA","34","","1,587,000","1st","261.15","3.44","5","437.6","31%","76","6","22","9","13","24","117","5.1","1.9","1","101","60","1360:27","02:23","156:54","471","0.54"
"*04qzk*","Paul Cotter","NJD","LW","348","Sam","25","","1,489,000","1st","260.25","3.29","0","-","34%","79","16","6","4","2","52","90","17.8","7.9","0","245","32","993:27","35:39","04:05","18","0.47"
"*042vx*","Filip Hronek","VAN","D","349","Seth","27","","1,719,000","1st","259.85","4.26","53","207.6","77%","61","5","28","12","16","40","83","6.0","2.1","7","89","75","1207:37","108:46","141:10","139","0.59"
"*03rgv*","Niko Mikkola","FLA","D","350","FA","29","CHI Tue 3:00PM","1,595,000","1st","259.45","3.41","0","1398.2","36%","76","6","16","3","13","70","116","5.2","2.3","0","137","88","1384:21","08:50","141:35","220","0.56"
"*04f1z*","Mikey Anderson","LAK","D","351","Abby","26","COL Tue 8:30PM","1,374,000","1st","258.55","3.36","0","1300.2","35%","77","6","18","6","12","28","84","7.1","2.4","0","119","124","1497:43","05:57","243:29","35","0.41"
"*03163*","J.T. Compher","DET","C","352","FA","30","","1,579,000","1st","257.85","3.39","0","-","23%","76","11","21","12","9","24","98","11.2","6.6","9","29","64","1039:30","109:30","118:46","-260","0.52"
"*042t1*","Luke Kunin","FLA","C,RW","353","FA","27","CHI Tue 3:00PM","1,584,000","1st","257.65","3.44","0","-","20%","75","11","7","4","3","55","112","9.8","5.1","0","187","77","925:42","49:46","126:19","-331","0.45"
"*03rfa*","Kevin Stenlund","UTA","C","354","FA","28","","1,573,000","1st","255.9","3.12","0","-","17%","82","14","14","8","6","40","102","13.7","7.1","0","50","64","958:13","03:39","214:55","-28","0.39"
"*03mm6*","Lawson Crouse","UTA","LW,RW","356","FA","28","","1,570,000","1st","255.45","3.15","1","1250.8","32%","81","12","6","3","3","39","126","9.5","5.0","1","193","46","968:03","84:31","59:32","88","0.52"
"*02oak*","Connor Brown","NJD","RW","357","FA","31","","1,569,000","1st","255.35","3.11","0","-","14%","82","13","17","7","10","10","123","10.6","6.1","0","19","37","1004:06","15:30","129:12","-58","0.43"
"*05gdo*","Luke Evangelista","NSH","RW","358","FA","23","","1,569,000","1st","255.3","3.75","1","1203","49%","68","10","22","10","12","22","134","7.5","4.7","5","28","13","856:35","86:41","00:00","130","0.61"
"*04mv3*","Alex Newhook","MTL","C,LW,RW","359","FA","24","","1,566,000","1st","254.85","3.11","0","1303.2","37%","82","15","11","6","5","24","118","12.7","5.7","4","89","32","1106:48","131:26","02:36","-140","0.63"
"*02gmm*","Tanner Pearson","WPG","LW","360","FA","33","","1,565,000","1st","254.8","3.27","1","1104.8","12%","78","12","15","9","6","8","109","11.0","6.0","0","96","45","897:41","02:15","19:25","-76","0.47"
"*03klu*","Garnet Hathaway","PHI","RW","361","FA","33","","1,550,000","1st","254.75","3.8","0","-","28%","67","10","11","5","6","58","80","12.5","7.2","0","257","61","697:22","04:53","92:37","-143","0.34"
"*015j6*","Tyler Myers","VAN","D","362","FA","35","","1,556,000","1st","253.15","3.57","0","-","25%","71","6","18","9","9","64","87","6.9","2.6","1","87","125","1277:39","41:09","157:25","-134","0.45"
"*02o8b*","Alexander Kerfoot","UTA","C,LW,RW","363","FA","31","","1,555,000","1st","252.95","3.12","0","-","17%","81","11","17","12","5","14","101","10.9","6.3","1","59","67","1004:25","26:41","204:26","111","0.48"
"*0043s*","James van Riemsdyk","DET","LW","364","FA","36","","1,507,000","1st","251.25","3.54","0","1188.2","17%","71","16","20","11","9","23","85","18.8","10.7","2","31","16","821:25","58:57","00:00","-9","0.54"
"*05grx*","Drew OConnor","VAN","LW,RW","365","FA","27","","1,544,000","1st","251.15","2.99","0","-","20%","84","10","15","7","8","34","117","8.5","4.0","2","83","57","1073:12","17:42","123:57","60","0.47"
"*04f0t*","Eetu Luostarinen","FLA","C,LW","366","FA","27","CHI Tue 3:00PM","1,541,000","1st","250.65","3.13","0","1263.6","32%","80","9","15","8","7","28","87","10.3","4.9","1","183","60","1020:37","38:52","163:35","128","0.57"
"*02b3d*","Joel Armia","LAK","RW","367","FA","32","COL Tue 8:30PM","1,537,000","1st","250.05","3.09","0","-","12%","81","11","18","13","5","16","104","10.6","4.7","3","87","35","891:28","61:12","205:48","-166","0.33"
"*003dv*","Corey Perry","LAK","LW,RW","368","FA","40","COL Tue 8:30PM","1,537,000","1st","250","3.09","0","-","11%","81","19","11","6","5","61","100","19.0","9.5","7","36","26","860:54","105:60","00:00","195","0.68"
"*0243d*","Brandon Saad","VGK","LW","369","FA","32","","1,527,000","1st","248.4","3.45","0","-","15%","72","13","17","7","10","6","127","10.2","6.0","3","12","21","972:20","51:58","42:38","84","0.56"
"*01lyi*","Ian Cole","UTA","D","370","FA","36","","1,525,000","1st","248.2","3.03","0","-","24%","82","1","16","8","8","77","66","1.5","0.5","0","106","211","1424:29","02:43","235:56","77","0.50"
"*02azm*","Connor Murphy","CHI","D","371","Seth","32","@FLA Tue 3:00PM","1,523,000","1st","248.05","3.65","5","462.9","29%","68","2","17","3","14","52","84","2.4","1.0","0","117","160","1241:42","04:19","155:48","-248","0.37"
"*060jl*","Jiri Kulich","BUF","C","372","FA","21","","1,514,000","1st","247.8","4","13","373.2","66%","62","15","9","5","4","18","134","11.2","5.7","0","40","36","827:10","87:39","02:20","59","0.57"
"*04y8g*","Trevor Zegras","PHI","C,LW","374","Sam","24","","2,305,000","1st","246.6","4.33","88","194.4","86%","57","12","20","13","7","23","98","12.2","6.1","4","50","27","828:40","142:20","00:14","-132","0.59"
"*03rjq*","Matt Roy","WSH","D","376","FA","30","","1,511,000","1st","245.8","3.56","18","344.7","31%","69","3","21","13","8","25","84","3.6","1.2","0","114","113","1241:44","09:04","120:51","-127","0.44"
"*02np6*","Jake McCabe","TOR","D","377","FA","31","","1,505,000","1st","244.8","3.71","7","463.6","41%","66","2","21","10","11","40","74","2.7","1.2","0","118","135","1243:00","11:16","165:34","-119","0.38"
"*04bw4*","Andrei Kuzmenko","LAK","LW,RW","378","Sam","29","COL Tue 8:30PM","2,472,000","1st","243.85","3.69","86","224.2","71%","66","11","26","15","11","14","83","13.3","6.0","13","19","22","848:28","182:09","00:58","73","0.70"
"*04amw*","Ryan Poehling","ANA","C","379","FA","26","","1,466,000","1st","243.7","3.58","0","-","20%","68","12","19","11","8","16","71","16.9","8.5","3","26","79","824:45","20:12","98:53","-110","0.38"
"*04kyn*","Sean Walker","CAR","D","381","FA","30","","1,482,000","1st","242.55","2.96","0","-","21%","82","5","11","6","5","46","144","3.5","1.3","0","91","90","1264:33","48:05","67:44","485","0.59"
"*02b6w*","William Karlsson","VGK","C","383","Jason","32","","4,071,000","2027","240.8","4.54","4","489.5","47%","53","9","20","14","6","4","119","7.6","3.7","6","20","37","751:11","75:12","75:22","141","0.61"
"*048x4*","Michael Rasmussen","DET","C,LW","384","FA","26","","1,456,000","1st","240.05","3.12","0","-","21%","77","11","10","7","3","24","99","11.1","5.8","4","141","59","887:36","82:18","62:47","-120","0.52"
"*03e2l*","Andrew Mangiapane","EDM","LW,RW","385","FA","29","","1,470,000","1st","240","2.96","13","377.3","44%","81","14","14","9","5","24","95","14.7","7.7","4","74","30","944:16","98:09","12:43","74","0.51"
"*03yg4*","Samuel Girard","COL","D","386","FA","27","@LAK Tue 8:30PM","1,470,000","1st","239.5","3.28","0","-","34%","73","3","21","10","11","14","95","3.2","1.3","1","62","111","1364:53","51:47","105:20","155","0.53"
"*05ylt*","Zach Benson","BUF","LW","387","FA","20","","1,469,000","1st","239.25","3.19","12","398.1","67%","75","10","18","14","4","60","120","8.3","4.7","4","35","29","938:23","105:44","67:16","194","0.56"
"*025by*","Ben Chiarot","DET","D","388","FA","34","","1,465,000","1st","239.05","2.95","0","-","20%","81","4","9","7","2","69","109","3.7","1.5","1","127","142","1569:45","11:30","138:34","-361","0.45"
"*04ye8*","Jordan Spence","OTT","D","389","FA","24","","1,438,000","1st","238.7","3.02","1","1235.7","47%","79","4","24","11","13","16","86","4.7","1.5","5","80","77","1188:05","84:12","54:01","310","0.56"
"*03ebr*","Michael Amadio","OTT","RW","390","FA","29","","1,441,000","1st","238.5","3.31","0","-","12%","72","11","16","13","3","18","85","12.9","6.7","1","108","44","951:35","31:33","31:46","-88","0.37"
"*02npl*","Damon Severson","CBJ","D","391","FA","31","","1,466,000","1st","238.45","3.41","0","-","25%","70","6","19","13","6","47","91","6.6","3.0","0","43","104","1199:19","38:54","95:33","-15","0.49"
"*03ee4*","Victor Olofsson","COL","LW,RW","392","Daniel","30","@LAK Tue 8:30PM","1,421,000","1st","238.3","4.26","0","1312.2","31%","56","15","14","10","4","16","109","13.8","7.1","8","26","19","733:52","77:49","00:11","97","0.62"
"*048x6*","Jesper Boqvist","FLA","C,RW","393","FA","26","CHI Tue 3:00PM","1,464,000","1st","238.15","3.05","0","-","18%","78","12","11","6","5","14","87","13.8","7.2","0","191","27","925:45","09:17","98:09","44","0.57"
"*04amd*","Peyton Krebs","BUF","C,RW","394","FA","24","","1,401,000","1st","238","2.94","0","1381.2","33%","81","10","18","8","10","60","80","12.5","5.0","1","136","32","1042:53","41:06","44:30","-68","0.43"
